client_id,client_name,gender,birth_date,client_type,cellphone,email,JOB_TITLE,JOB_INDUSTRY_CATEGORY,WEALTH_SEGMENT,DECEASED_INDICATOR,OWNS_CAR,TENURE,ADDRESS,POSTCODE,STATE,COUNTRY,
25,Dukie Swire,Male,3/31/1954,company,0061111824551,dukie_swire@gmail.com,Account Executive,Manufacturing,Mass Customer,FALSE,FALSE,4,67 Shelley Street,4703,QLD,Australia,
26,Marcelia Monkleigh,Female,8/22/1993,company,0061842310255,marcelia_monkleigh@gmail.com,,Property,Mass Customer,FALSE,FALSE,17,75 Cordelia Trail,4817,QLD,Australia,
27,Winnifred Beswetherick,Female,6/8/1976,individual,0049912795959,winnifred_beswetherick@gmail.com,Engineer II,Retail,Mass Customer,FALSE,TRUE,7,51 Hooker Court,2640,NSW,Australia,
28,Odilia Quick,Female,11/9/1938,company,0035198328166,odilia_quick@gmail.com,Nurse,Property,High Net Worth,FALSE,TRUE,5,1859 Forest Circle,4000,QLD,Australia,
29,Karly Willavize,Female,8/12/1954,company,0064113767367,karly_willavize@gmail.com,Librarian,Entertainment,High Net Worth,FALSE,FALSE,11,44557 Rutledge Court,4171,QLD,Australia,
30,Teddie Burchill,Male,12/21/1968,individual,0065844253071,teddie_burchill@gmail.com,,Health,High Net Worth,FALSE,FALSE,8,11184 East Drive,3056,VIC,Australia,
31,Gaston Dallaghan,Male,9/29/1993,individual,0066914738775,gaston_dallaghan@gmail.com,,Financial Services,High Net Worth,FALSE,TRUE,17,555 Hermina Avenue,2280,NSW,Australia,
32,Otis Ottey,Male,2/5/1998,company,0034985224479,otis_ottey@gmail.com,Clinical Specialist,Health,Mass Customer,FALSE,TRUE,12,8 Novick Trail,2470,NSW,Australia,
33,Tabbatha Averill,Female,12/17/1977,company,0061115710183,tabbatha_averill@gmail.com,Paralegal,Financial Services,Mass Customer,FALSE,TRUE,7,74 Welch Pass,2620,NSW,Australia,
34,Brena Schnitter,Female,10/11/1982,company,0061846195887,brena_schnitter@gmail.com,Nurse,n/a,Mass Customer,FALSE,FALSE,9,3 Pleasure Drive,4122,QLD,Australia,
35,Rourke Gillbard,Male,8/3/1945,company,0049916681591,rourke_gillbard@gmail.com,Assistant Manager,Financial Services,Affluent Customer,FALSE,FALSE,20,8 Dennis Point,3226,VIC,Australia,
36,Dyane Burwell,Female,6/27/1952,company,0035198716729,dyane_burwell@gmail.com,Senior Quality Engineer,Financial Services,Affluent Customer,FALSE,TRUE,13,41042 Lotheville Crossing,4817,QLD,Australia,
37,Claudine Barstowk,Female,7/20/1966,individual,0064117652999,claudine_barstowk@gmail.com,Recruiting Manager,n/a,High Net Worth,FALSE,FALSE,13,2330 Butternut Trail,2017,NSW,Australia,
38,Blinnie Roze,Female,12/10/1960,company,0065848138703,blinnie_roze@gmail.com,,Manufacturing,Mass Customer,FALSE,FALSE,15,240 Acker Avenue,3190,VIC,Australia,
39,Rhona De Freyne,Female,11/22/1960,individual,0066918624407,rhona_de freyne@gmail.com,,Property,Mass Customer,FALSE,TRUE,13,04 Dexter Way,3280,VIC,Australia,
40,Sharron Claibourn,Female,1/26/1980,individual,0034989110111,sharron_claibourn@gmail.com,,Manufacturing,Affluent Customer,FALSE,TRUE,8,011 Northland Trail,2160,NSW,Australia,
41,Brien Heaton,Male,11/28/1951,company,0061119595815,brien_heaton@gmail.com,,Health,High Net Worth,FALSE,FALSE,10,8 Grayhawk Circle,2756,NSW,Australia,
42,Sybilla MacCart,Female,1/15/1987,company,0061841008151,sybilla_maccart@gmail.com,Design Engineer,Financial Services,Mass Customer,FALSE,FALSE,3,44 Darwin Lane,3149,VIC,Australia,
43,Mikel McNess,Male,9/22/1981,company,0049911056722,mikel_mcness@gmail.com,,Retail,Mass Customer,FALSE,FALSE,8,2548 Arrowood Pass,2024,NSW,Australia,
44,Maisie Maddox,Female,5/9/1977,company,0035198110529,maisie_maddox@gmail.com,Design Engineer,n/a,Affluent Customer,FALSE,FALSE,9,938 Ilene Road,2761,NSW,Australia,
45,Arleen Casbolt,Female,5/10/1975,company,0064111153863,arleen_casbolt@gmail.com,,n/a,High Net Worth,FALSE,FALSE,6,6 Melby Center,3027,VIC,Australia,
46,Farlie Petford,Male,3/25/1968,individual,0065841202433,farlie_petford@gmail.com,Business Systems Development Analyst,Retail,High Net Worth,FALSE,TRUE,5,08708 Moulton Park,2034,NSW,Australia,
47,Mitchell MacCague,Male,4/11/1979,company,0066911251003,mitchell_maccague@gmail.com,Paralegal,Financial Services,Affluent Customer,FALSE,TRUE,19,306 Clemons Junction,4852,QLD,Australia,
48,Garik Whitwell,Male,6/13/1955,individual,0034981299574,garik_whitwell@gmail.com,VP Quality Control,n/a,High Net Worth,FALSE,TRUE,14,18 Grim Road,4305,QLD,Australia,
49,Antonin Britt,Male,8/28/1993,individual,0061111348144,antonin_britt@gmail.com,Cost Accountant,Financial Services,Mass Customer,FALSE,TRUE,17,169 Bashford Drive,3741,VIC,Australia,
50,Vinny Incogna,Female,2/13/1953,company,0061841396715,vinny_incogna@gmail.com,Product Engineer,Argiculture,Mass Customer,FALSE,FALSE,20,3 Vermont Lane,2067,NSW,Australia,
51,Colene Fishleigh,Female,3/14/1985,company,0049911445285,colene_fishleigh@gmail.com,,Manufacturing,Affluent Customer,FALSE,FALSE,10,998 Gale Park,3174,VIC,Australia,
52,Neile Argent,Female,10/25/1946,company,0035198149385,neile_argent@gmail.com,Paralegal,Financial Services,Affluent Customer,FALSE,TRUE,5,64 Mcguire Trail,4017,QLD,Australia,
53,Corinna Suggey,Female,9/18/1966,company,0064111542426,corinna_suggey@gmail.com,Social Worker,Health,High Net Worth,FALSE,TRUE,11,74127 Blaine Point,3805,VIC,Australia,
54,Brooke Arling,Male,12/5/1961,company,0065841590996,brooke_arling@gmail.com,,Property,Mass Customer,FALSE,FALSE,8,31756 Meadow Valley Lane,2232,NSW,Australia,
55,Gipsy Ewestace,Female,8/30/1956,individual,0066911639567,gipsy_ewestace@gmail.com,Payment Adjustment Coordinator,Retail,Mass Customer,FALSE,FALSE,16,293 Mayfield Street,3166,VIC,Australia,
56,Sheena Kybbye,Female,7/16/1956,company,0034981688137,sheena_kybbye@gmail.com,Marketing Assistant,Manufacturing,Mass Customer,FALSE,FALSE,9,261 Grayhawk Way,2226,NSW,Australia,
57,Jobina Gobourn,Female,12/4/1994,company,0061111736707,jobina_gobourn@gmail.com,Recruiter,Argiculture,Mass Customer,FALSE,FALSE,12,2 Schlimgen Terrace,2750,NSW,Australia,
58,Gale Disbrow,Female,5/14/1977,individual,0061841785278,gale_disbrow@gmail.com,VP Product Management,n/a,Mass Customer,FALSE,FALSE,14,76733 Sunbrook Terrace,3196,VIC,Australia,
59,Thaxter Kingsbury,Male,5/3/1950,individual,0049911833848,thaxter_kingsbury@gmail.com,Media Manager III,n/a,Mass Customer,FALSE,TRUE,8,683 Florence Way,3156,VIC,Australia,
60,Heinrick Shilstone,Male,2/11/1978,company,0035198188241,heinrick_shilstone@gmail.com,Associate Professor,IT,Mass Customer,FALSE,FALSE,4,7232 Fulton Parkway,3810,VIC,Australia,
61,Taylor Steuhlmeyer,Male,3/22/1999,company,0064111930989,taylor_steuhlmeyer@gmail.com,Cost Accountant,Financial Services,High Net Worth,FALSE,TRUE,17,06936 Bobwhite Circle,2257,NSW,Australia,
62,Griswold Kelsall,Male,12/19/1993,company,0065841979559,griswold_kelsall@gmail.com,Developer I,Argiculture,Mass Customer,FALSE,TRUE,9,283 Acker Drive,2763,NSW,Australia,
63,Odessa Mc Andrew,Female,12/1/1981,company,0066912028130,odessa_mc andrew@gmail.com,Senior Financial Analyst,Financial Services,High Net Worth,FALSE,FALSE,11,9 Mosinee Parkway,2072,NSW,Australia,
64,Lavena Seekings,Female,3/25/1995,company,0034982076700,lavena_seekings@gmail.com,Electrical Engineer,Manufacturing,High Net Worth,FALSE,TRUE,17,45 Becker Place,4504,QLD,Australia,
65,Martelle Tuppeny,Female,2/3/1981,individual,0061112125271,martelle_tuppeny@gmail.com,Accountant IV,IT,High Net Worth,FALSE,TRUE,7,27 Karstens Crossing,4214,QLD,Australia,
66,Briant Ladley,Male,12/17/1979,company,0061842173841,briant_ladley@gmail.com,Human Resources Manager,Retail,High Net Worth,FALSE,FALSE,12,9630 Cottonwood Avenue,2168,NSW,Australia,
67,Marylou Kirkup,Female,10/31/1972,individual,0049912222411,marylou_kirkup@gmail.com,Executive Secretary,Property,Affluent Customer,FALSE,TRUE,5,989 Graedel Terrace,4208,QLD,Australia,
68,,Male,7/29/1966,individual,0035198227098,,Account Representative I,Manufacturing,Affluent Customer,FALSE,TRUE,16,76 Bartelt Center,4078,QLD,Australia,
69,Normy Goodinge,U,,company,0064112319552,normy_goodinge@gmail.com,Executive Secretary,Financial Services,High Net Worth,FALSE,TRUE,3,29778 Mendota Drive,4036,QLD,Australia,
70,Lorrie Antonelli,Male,2/11/1983,company,0065842368123,lorrie_antonelli@gmail.com,Associate Professor,n/a,High Net Worth,FALSE,TRUE,6,69 Algoma Center,4173,QLD,Australia,
71,Jedediah Kedie,Male,12/29/1971,company,0066912416693,jedediah_kedie@gmail.com,Dental Hygienist,Health,High Net Worth,FALSE,TRUE,13,8288 Lyons Way,2484,NSW,Australia,
72,Kaine Smallcombe,Male,2/6/1942,company,0034982465263,kaine_smallcombe@gmail.com,GIS Technical Architect,Financial Services,Mass Customer,FALSE,FALSE,9,4185 Florence Trail,2121,NSW,Australia,
73,Loise Iltchev,Female,3/18/1967,company,0061112513834,loise_iltchev@gmail.com,Assistant Professor,Financial Services,High Net Worth,FALSE,FALSE,15,9608 Heffernan Drive,4068,QLD,Australia,
74,Cristen Maroney,Female,11/21/1999,individual,0061842562404,cristen_maroney@gmail.com,Mechanical Systems Engineer,n/a,High Net Worth,FALSE,FALSE,15,9 Union Center,2147,NSW,Australia,
75,Dorothy Barnardo,Female,2/1/1983,company,0049912610975,dorothy_barnardo@gmail.com,,Financial Services,Affluent Customer,FALSE,TRUE,19,800 Emmet Park,2219,NSW,Australia,
76,Rosmunda Duxbarry,Female,7/20/1996,individual,0035198265954,rosmunda_duxbarry@gmail.com,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,FALSE,TRUE,10,12351 Spenser Pass,2034,NSW,Australia,
77,Rozamond Riha,Female,10/7/1984,individual,0064112708115,rozamond_riha@gmail.com,Research Nurse,Health,Mass Customer,FALSE,FALSE,17,4 Valley Edge Plaza,2759,NSW,Australia,
78,Gunner Petti,Male,6/8/1999,company,0065842756686,gunner_petti@gmail.com,Speech Pathologist,Health,Affluent Customer,FALSE,TRUE,13,1601 Rutledge Lane,3030,VIC,Australia,
79,Vivienne Crayden,Female,9/18/1988,company,0066912805256,vivienne_crayden@gmail.com,Computer Systems Analyst IV,Manufacturing,Mass Customer,FALSE,TRUE,13,0 Mockingbird Plaza,2212,NSW,Australia,
80,Sherilyn Canero,Female,8/3/1996,company,0034982853827,sherilyn_canero@gmail.com,Analyst Programmer,Entertainment,High Net Worth,FALSE,FALSE,6,1665 Kenwood Center,2518,NSW,Australia,
81,Bessie Roscow,Female,8/4/1994,company,0061112902397,bessie_roscow@gmail.com,Desktop Support Technician,Manufacturing,Mass Customer,FALSE,FALSE,15,5 4th Center,2097,NSW,Australia,
82,Kevina Ferandez,Female,9/21/1999,company,0061842950967,kevina_ferandez@gmail.com,Editor,Financial Services,Mass Customer,FALSE,FALSE,9,92214 Spenser Road,2756,NSW,Australia,
83,Yancy Clementet,Male,2/16/1968,individual,0049912999538,yancy_clementet@gmail.com,,Financial Services,Mass Customer,FALSE,FALSE,5,5186 Main Trail,2046,NSW,Australia,
84,Mabelle Wellbelove,Female,4/21/1958,company,0035198304810,mabelle_wellbelove@gmail.com,Biostatistician IV,Manufacturing,High Net Worth,FALSE,FALSE,8,564 Forest Dale Avenue,3161,VIC,Australia,
85,Hasheem Groucock,Male,9/17/1974,company,0064113096679,hasheem_groucock@gmail.com,Database Administrator III,Manufacturing,High Net Worth,FALSE,TRUE,16,83 Old Gate Point,2576,NSW,Australia,
86,Tobias Woodhams,Male,4/15/1961,individual,0065843145249,tobias_woodhams@gmail.com,Engineer III,n/a,High Net Worth,FALSE,FALSE,13,387 Dixon Alley,2024,NSW,Australia,
87,Glennis Flintoff,Female,10/22/1956,individual,0066913193819,glennis_flintoff@gmail.com,Assistant Media Planner,Entertainment,Affluent Customer,FALSE,FALSE,5,411 Twin Pines Way,2026,NSW,Australia,
88,Chanda Mensler,Female,1/14/1972,company,0034983242390,chanda_mensler@gmail.com,GIS Technical Architect,n/a,High Net Worth,FALSE,FALSE,13,12 Arapahoe Park,2035,NSW,Australia,
89,Katheryn Kinner,Female,11/28/1973,company,0061113290960,katheryn_kinner@gmail.com,Physical Therapy Assistant,Manufacturing,Mass Customer,FALSE,TRUE,14,4915 Debra Center,2479,NSW,Australia,
90,Sumner Carrivick,Male,4/9/1995,company,0061843339531,sumner_carrivick@gmail.com,Structural Engineer,Health,Affluent Customer,FALSE,FALSE,16,76 Sunnyside Avenue,4670,QLD,Australia,
91,Valerie Pickover,Female,9/8/1965,company,0049913388101,valerie_pickover@gmail.com,Environmental Specialist,n/a,Affluent Customer,FALSE,FALSE,15,1 Talisman Avenue,2125,NSW,Australia,
92,Esther Rooson,Female,2/22/1981,company,0035198343667,esther_rooson@gmail.com,Director of Sales,Health,Mass Customer,FALSE,FALSE,19,91164 Washington Terrace,2263,NSW,Australia,
93,Gardie Crellim,Male,9/12/1975,individual,0064113485242,gardie_crellim@gmail.com,,Retail,Mass Customer,FALSE,FALSE,11,74 Carpenter Street,2015,NSW,Australia,
94,Sean O'Loughlin,Male,3/22/1961,company,0065843533812,sean_o'loughlin@gmail.com,Teacher,n/a,Affluent Customer,FALSE,TRUE,14,6776 Anderson Center,4037,QLD,Australia,
95,Pietra Buckleigh,Female,4/29/1949,individual,0066913582383,pietra_buckleigh@gmail.com,,n/a,Mass Customer,FALSE,FALSE,12,1 Orin Hill,4510,QLD,Australia,
96,Marysa Rouchy,Female,2/15/1999,individual,0034983630953,marysa_rouchy@gmail.com,,Manufacturing,High Net Worth,FALSE,TRUE,8,88 Annamark Avenue,2138,NSW,Australia,
97,,Male,11/1/1942,company,0061113679523,,Human Resources Assistant IV,Property,Mass Customer,FALSE,TRUE,15,37439 High Crossing Circle,3350,VIC,Australia,
98,Ossie Midden,Male,2/10/1950,company,0061843728094,ossie_midden@gmail.com,Nurse Practicioner,Retail,Mass Customer,FALSE,FALSE,11,5 Nevada Point,4017,QLD,Australia,
99,Sid Carlone,Male,8/18/1971,company,0049913776664,sid_carlone@gmail.com,Structural Engineer,Manufacturing,High Net Worth,FALSE,FALSE,11,67 Grayhawk Circle,2232,NSW,Australia,
100,Ludovico Juster,Male,4/19/1992,company,0035198382523,ludovico_juster@gmail.com,Structural Analysis Engineer,Manufacturing,High Net Worth,FALSE,TRUE,14,0 Meadow Ridge Street,3173,VIC,Australia,
101,Patricia Everix,Female,2/19/1978,company,0064113873805,patricia_everix@gmail.com,Associate Professor,Retail,Mass Customer,FALSE,FALSE,3,5 Quincy Street,4118,QLD,Australia,
102,Andromache Bonafacino,Female,9/1/1977,individual,0065843922375,andromache_bonafacino@gmail.com,Dental Hygienist,Health,Mass Customer,FALSE,FALSE,12,13025 Johnson Plaza,4670,QLD,Australia,
103,Levy Abramamov,Male,9/21/1952,company,0066913970946,levy_abramamov@gmail.com,Marketing Manager,Manufacturing,Mass Customer,FALSE,FALSE,9,966 Sunnyside Center,2390,NSW,Australia,
104,Nobe McAughtry,Male,12/14/1978,individual,0034984019516,nobe_mcaughtry@gmail.com,Staff Accountant IV,Financial Services,Affluent Customer,FALSE,FALSE,8,802 Mallory Park,3919,VIC,Australia,
105,Jehu Prestedge,Male,10/20/1999,individual,0061114068087,jehu_prestedge@gmail.com,VP Sales,Financial Services,High Net Worth,FALSE,TRUE,15,93 Judy Drive,3047,VIC,Australia,
106,Symon Mawne,Male,2/8/1943,company,0061844116657,symon_mawne@gmail.com,Accountant III,IT,Mass Customer,FALSE,TRUE,16,94 Manitowish Court,4116,QLD,Australia,
107,Karlik Penchen,Male,10/31/1994,company,0049914165227,karlik_penchen@gmail.com,Recruiting Manager,Argiculture,Mass Customer,FALSE,FALSE,18,5013 Erie Crossing,2230,NSW,Australia,
108,Bengt Bilson,Male,11/2/1972,company,0035198421379,bengt_bilson@gmail.com,Sales Representative,Retail,High Net Worth,FALSE,FALSE,19,540 Sachs Road,3153,VIC,Australia,
109,Evangelin Boc,Female,5/9/2000,company,0064114262368,evangelin_boc@gmail.com,Human Resources Assistant II,n/a,Mass Customer,FALSE,FALSE,5,422 Forster Circle,2340,NSW,Australia,
110,Hanny Treven,Female,1/22/1991,company,0065844310939,hanny_treven@gmail.com,,Manufacturing,Mass Customer,FALSE,TRUE,16,4275 Bluestem Pass,4000,QLD,Australia,
111,Gina Mallon,Female,2/11/1994,individual,0066914359509,gina_mallon@gmail.com,Food Chemist,Health,Mass Customer,FALSE,TRUE,7,6 Anderson Junction,3802,VIC,Australia,
112,Reynold Elman,Male,1/18/1940,company,0034984408079,reynold_elman@gmail.com,Staff Scientist,Financial Services,Mass Customer,FALSE,TRUE,11,276 Westend Road,4207,QLD,Australia,
113,Flossy Concannon,Female,10/20/1980,company,0061114456650,flossy_concannon@gmail.com,Structural Engineer,n/a,High Net Worth,FALSE,FALSE,14,69 Garrison Point,2223,NSW,Australia,
114,Cristen Wiltshire,Female,10/20/1961,individual,0061844505220,cristen_wiltshire@gmail.com,VP Sales,IT,Mass Customer,FALSE,FALSE,5,65 Milwaukee Hill,3280,VIC,Australia,
115,Griffith Escot,Male,10/23/1946,individual,0049914553791,griffith_escot@gmail.com,Geologist IV,Manufacturing,Affluent Customer,FALSE,FALSE,18,4252 Dovetail Pass,4129,QLD,Australia,
116,Jamie Jiruca,Female,6/16/1963,company,0035198460236,jamie_jiruca@gmail.com,,Health,Mass Customer,FALSE,FALSE,5,56 Riverside Street,2546,NSW,Australia,
117,Lyon Brittan,Male,4/23/1972,company,0064114650931,lyon_brittan@gmail.com,Information Systems Manager,Telecommunications,Affluent Customer,FALSE,TRUE,17,7 Cascade Park,2089,NSW,Australia,
118,Aridatha Sephton,Female,10/22/1961,company,0065844699502,aridatha_sephton@gmail.com,Junior Executive,Financial Services,High Net Worth,FALSE,TRUE,6,29307 Russell Avenue,3094,VIC,Australia,
119,Michal Bryan,Female,11/9/1969,company,0066914748072,michal_bryan@gmail.com,Nurse Practicioner,Retail,Mass Customer,FALSE,TRUE,4,3 Mcguire Crossing,4510,QLD,Australia,
120,Franciska Stigell,Female,11/15/1968,company,0034984796643,franciska_stigell@gmail.com,Automation Specialist II,Property,Mass Customer,FALSE,TRUE,7,6 Golf View Alley,2287,NSW,Australia,
121,Jordan Clampe,Male,12/9/1939,individual,0061114845213,jordan_clampe@gmail.com,Software Consultant,Retail,Affluent Customer,FALSE,FALSE,4,83716 Russell Lane,2145,NSW,Australia,
122,David Napoleon,Male,11/5/1961,company,0061844893783,david_napoleon@gmail.com,Desktop Support Technician,n/a,Mass Customer,FALSE,FALSE,9,265 Stephen Trail,2209,NSW,Australia,
123,Meriel Tapp,Female,8/13/1995,individual,0049914942354,meriel_tapp@gmail.com,Design Engineer,n/a,High Net Worth,FALSE,FALSE,6,2 Charing Cross Trail,2759,NSW,Australia,
124,Dolley Starmont,Female,11/8/1977,individual,0035198499092,dolley_starmont@gmail.com,Financial Analyst,Financial Services,Mass Customer,FALSE,FALSE,4,8350 Moulton Terrace,4500,QLD,Australia,
125,Frederik Milan,Male,11/13/1997,company,0064115039495,frederik_milan@gmail.com,Media Manager III,n/a,High Net Worth,FALSE,TRUE,15,578 Waywood Circle,4306,QLD,Australia,
126,Rollo Louedey,Male,7/9/1946,company,0065845088065,rollo_louedey@gmail.com,,Health,Mass Customer,FALSE,TRUE,6,9722 Northport Way,3500,VIC,Australia,
127,Jerrine Cosbey,Female,1/11/1978,company,0066915136635,jerrine_cosbey@gmail.com,Social Worker,Health,Affluent Customer,FALSE,FALSE,21,7026 Katie Lane,3818,VIC,Australia,
128,Roddy Rubinshtein,Male,10/8/1987,company,0034985185206,roddy_rubinshtein@gmail.com,Civil Engineer,Manufacturing,Mass Customer,FALSE,TRUE,9,8 Eggendart Pass,2835,NSW,Australia,
129,Viki Coutts,Female,12/14/1952,company,0061115233776,viki_coutts@gmail.com,Editor,Retail,Mass Customer,FALSE,FALSE,12,1 Bluejay Place,4405,QLD,Australia,
130,Ashby Bispham,Male,10/29/1981,individual,0061845282347,ashby_bispham@gmail.com,Design Engineer,Retail,Affluent Customer,FALSE,TRUE,5,28970 Monument Lane,2560,NSW,Australia,
131,Alexander Broadbent,Male,5/28/1997,company,0049915330917,alexander_broadbent@gmail.com,Geological Engineer,Manufacturing,Affluent Customer,FALSE,TRUE,5,235 Mendota Court,2650,NSW,Australia,
132,Teddy Lagadu,Female,7/20/1969,individual,0035198537948,teddy_lagadu@gmail.com,Payment Adjustment Coordinator,n/a,Mass Customer,FALSE,TRUE,13,49309 Redwing Lane,3240,VIC,Australia,
133,Peria Rantoull,Female,3/13/1975,individual,0064115428058,peria_rantoull@gmail.com,,n/a,Mass Customer,FALSE,TRUE,15,367 Bay Point,4011,QLD,Australia,
134,Ludvig Andren,Male,2/22/1941,company,0065845476628,ludvig_andren@gmail.com,,Manufacturing,Mass Customer,FALSE,FALSE,9,932 Glendale Avenue,2173,NSW,Australia,
135,Elsworth Abbitt,Male,2/8/1956,company,0066915525199,elsworth_abbitt@gmail.com,Graphic Designer,Manufacturing,Affluent Customer,FALSE,TRUE,14,492 Waywood Lane,2750,NSW,Australia,
136,Rebeca Aggas,Female,2/27/1953,company,0034985573769,rebeca_aggas@gmail.com,Staff Accountant II,n/a,Mass Customer,FALSE,FALSE,19,12683 Mifflin Point,2114,NSW,Australia,
137,Ricki Dobrowski,Male,3/10/1975,company,0061115622339,ricki_dobrowski@gmail.com,Graphic Designer,Manufacturing,Affluent Customer,FALSE,FALSE,4,6160 Weeping Birch Hill,4509,QLD,Australia,
138,Georgetta Lovett,Female,2/2/1940,company,0061845670910,georgetta_lovett@gmail.com,Social Worker,Health,Mass Customer,FALSE,TRUE,16,7 Oakridge Lane,2284,NSW,Australia,
139,Bambi Cogger,Female,7/12/1990,individual,0049915719480,bambi_cogger@gmail.com,Community Outreach Specialist,Financial Services,Mass Customer,FALSE,TRUE,12,0 Dexter Parkway,2380,NSW,Australia,
140,Aurie Rhead,Female,7/28/1962,company,0035198576805,aurie_rhead@gmail.com,Programmer Analyst II,Property,Mass Customer,FALSE,TRUE,3,75813 Lawn Lane,3081,VIC,Australia,
141,Farris Skettles,Male,7/3/1965,company,0064115816621,farris_skettles@gmail.com,Desktop Support Technician,Manufacturing,Affluent Customer,FALSE,TRUE,16,74613 Northport Park,3765,VIC,Australia,
142,Sharline Abyss,Female,3/18/1960,individual,0065845865191,sharline_abyss@gmail.com,Pharmacist,Health,Affluent Customer,FALSE,TRUE,15,68 Karstens Pass,2176,NSW,Australia,
